"","contrast","estimate","SE","df","t.ratio","p.value"
"1","pre H - post H",145.910950800772,8.64183996521406,1851.56810775677,16.8842458768164,1.83895121352862e-11
"2","pre H - pre L",-53.9691170857306,5.52716770462005,831.515890603669,-9.76433500301049,0
"3","pre H - post L",120.554284786818,7.04757521125532,1405.20626196872,17.1057819424597,0
"4","pre H - pre M",-31.8259570825448,5.93925334352765,953.215003227798,-5.35857880472928,1.56742354129324e-06
"5","pre H - post M",131.17477775439,7.65906301651101,1551.71005250712,17.1267395857183,0
"6","post H - pre L",-199.880067886503,7.87104751316272,1705.99279839211,-25.3943414205345,2.84539058981181e-12
"7","post H - post L",-25.3566660139542,8.46729817377071,1683.55496299291,-2.99465844872476,0.0331820239031778
"8","post H - pre M",-177.736907883317,8.18171617048854,1751.4761944897,-21.7236707042484,5.85220760740413e-12
"9","post H - post M",-14.7361730463822,8.90839482109927,1764.37170745845,-1.65418948557152,0.562498971452085
"10","pre L - post L",174.523401872549,6.0761973907544,1852.64971518921,28.7224707574684,1.77717840443847e-11
"11","pre L - pre M",22.1431600031859,4.72488563797103,1165.66161261919,4.68649649956282,4.56194028475299e-05
"12","pre L - post M",185.143894840121,6.77531823568474,1829.39939859605,27.3262285843625,1.49422696438251e-11
"13","post L - pre M",-152.380241869363,6.47391911647448,1663.51020316634,-23.5375572551708,1.35136346557374e-12
"14","post L - post M",10.6204929675719,7.31475724734374,1785.65204883252,1.45192692094172,0.69499284142642
"15","pre M - post M",163.000734836935,7.1319690471345,1852.82577327321,22.854941427771,1.83238979545308e-11
